Iteration	Posterior	Likelihood	Prior	r12	r14	r15	r2	r3	r5	r8	r9
73500	1.34071	-18.4849	19.8256	0.08592993	0.000201272	0.002421837	0.01018781	0.01746545	0.03731001	0.03123781	0.02225723
74000	0.0920668	-17.9458	18.0378	0.003292162	0.0008826602	0.0003228947	0.00676736	0.07064111	0.01353242	0.07014089	0.1308221
74500	-2.52931	-19.252	16.7227	0.05884137	0.002141724	0.0001765523	0.005580922	0.09938936	0.1298664	0.05535918	0.01080425
75000	0.79122	-18.6238	19.415	0.030322	0.0004048064	0.001389617	0.008196983	0.05515512	0.02621526	0.06060322	0.04525664
75500	0.801857	-18.7431	19.545	0.005891185	0.0003457759	0.0007209225	0.02547675	0.02084344	0.01797162	0.08453047	0.06526513
76000	-4.92327	-20.3849	15.4617	0.0632428	0.001452575	0.004042259	0.1187819	0.05006284	0.003218143	0.1243999	0.06000873
76500	1.51399	-18.1785	19.6925	0.06723392	0.0007024067	0.001868583	0.003573695	0.006859383	0.0372229	0.09464548	0.001563049
77000	1.76092	-18.6754	20.4363	0.07950938	3.034977e-05	0.003616893	0.007366163	0.02301028	0.002616083	0.04560172	0.01472513
77500	-1.53236	-19.17	17.6376	0.1429899	0.0007173234	0.00270177	0.003386029	0.04181704	0.05488625	0.01583965	0.05407389
78000	-3.52736	-19.6271	16.0997	0.01009449	0.0002124756	0.002651749	0.06749359	0.04971843	0.03307062	0.1456115	0.08445274
78500	-7.01482	-20.5459	13.5311	0.007739241	0.0006301695	0.001606501	0.1766961	0.02682252	0.07472666	0.0853697	0.1481476
79000	-4.37261	-19.688	15.3154	0.09522588	0.003646236	0.00218521	0.03796931	0.006429874	0.08777225	0.1886228	0.01067231
79500	1.56092	-18.0749	19.6358	0.03276015	3.951697e-05	0.0004134763	0.002691588	0.04740446	0.01174784	0.05824	0.06320671
80000	-2.34184	-19.5751	17.2332	0.01648094	0.001154698	0.001624706	0.01201624	0.04090609	0.02490911	0.1859442	0.05359538
80500	-9.98433	-21.0615	11.0771	0.006571012	0.006070442	0.0009192621	0.1937704	0.01667246	0.09763302	0.3160883	0.006711414
81000	-7.22456	-26.0221	18.7975	0.05793011	0.008322056	0.00474283	0.0002938144	0.08373192	0.01134328	0.09043958	0.001613681
81500	-4.21456	-18.8438	14.6292	0.08687276	0.0002363057	0.001710571	0.04115469	0.02271462	0.140277	0.1186146	0.05525187
82000	-7.25507	-19.647	12.392	0.3192508	0.002867098	0.006859343	0.0034276	0.03924447	0.054727	0.1134658	0.03885226
82500	-3.73868	-19.2627	15.524	0.07428172	0.0005024144	0.004859574	0.01593264	0.1013898	0.02781945	0.1396484	0.05765762
83000	-2.83143	-21.3293	18.4979	0.2024492	0.000149407	0.0006530693	0.01442913	0.01126027	0.02291193	0.002615962	0.01892927
83500	-5.14927	-21.5155	16.3662	0.1096895	0.002109068	0.00468061	0.0835606	0.04064886	0.08094004	0.03500224	0.02335224
84000	-2.74336	-19.5246	16.7813	0.1288517	0.0001853275	0.00648034	0.02233763	0.09226822	0.03288651	0.02077149	0.055448
84500	-4.66716	-21.0853	16.4182	0.1108526	0.00260217	1.655657e-05	0.01425006	0.06765155	0.04860965	0.05638364	0.07701857
85000	-0.461509	-18.8483	18.3868	0.08101372	0.0005243416	0.000661827	0.008934586	0.0183651	0.09086771	0.04808085	0.03050584
85500	-1.57908	-16.7066	15.1275	0.00282136	7.276331e-05	7.095497e-05	0.01061503	0.09885471	0.1592881	0.08564305	0.0845515
86000	-2.35057	-20.5952	18.2446	0.06069218	0.001469042	0.0007557415	0.0135883	0.05963716	0.0131887	0.1012684	0.03546382
86500	-0.767445	-18.9874	18.2199	0.05827812	0.000865608	0.002648464	0.03563848	0.001891882	0.0009430043	0.1632598	0.02377088
